ID, Nationality, Gender, Age, Degree, Hours on Readings, Hours on Assignments, Hours on Games, Hours on Internet, Exam, Grade, GradeLetter
1, India, 0,25, BS, 14, 2, 14, 6,43.67,51.73,F
2, India, 0,24, BS, 14, 2, 14, 6,62.01,72.23,C
3, India, 0,26, BS, 14, 2, 14, 6,45.03,54.37,F
4, India, 0,21, BS, 14, 2, 14, 6,48.86,57.68,F
5, France, 1,23, BS, 14, 2, 2, 7,80.37,88.41,A
6, Spain, 1,18, PHD, 12, 1, 7, 4,89.29,89.70,A
7, India, 1,22, MS, 13, 0, 13, 3,76.64,80.27,B
8, India, 1,19, MS, 13, 0, 13, 3,89.34,86.90,B
9, India, 1,25, MS, 13, 0, 13, 3,81.73,78.61,C
10, India, 1,18, MS, 13, 0, 13, 3,75.28,80.79,B
11, Spain, 0,22, PHD, 12, 7, 5, 9,88.84,90.03,A
12, Spain, 0,21, PHD, 12, 7, 5, 9,94.53,85.44,B
13, Spain, 0,22, PHD, 12, 7, 5, 9,89.40,95.52,A
14, Spain, 0,19, PHD, 12, 7, 5, 9,98.42,95.52,A
15, Spain, 0,25, PHD, 12, 7, 5, 9,90.13,92.55,A
16, Spain, 0,25, PHD, 12, 7, 5, 9,88.62,94.98,A
17, Spain, 0,23, PHD, 12, 7, 5, 9,88.01,97.54,A
18, Spain, 0,24, PHD, 12, 7, 5, 9,98.98,84.62,B
19, Spain, 0,24, PHD, 12, 7, 5, 9,97.97,89.21,A
20, Spain, 0,21, PHD, 12, 7, 5, 9,84.00,98.77,A
21, Spain, 0,23, PHD, 12, 7, 5, 9,87.69,91.49,A
22, Spain, 0,19, PHD, 12, 7, 5, 9,93.04,88.00,B
23, Spain, 0,22, PHD, 12, 7, 5, 9,83.91,99.21,A
24, Spain, 0,22, PHD, 12, 7, 5, 9,84.85,89.99,A
25, Spain, 0,26, PHD, 12, 7, 5, 9,89.00,91.70,A
26, Spain, 0,26, PHD, 12, 7, 5, 9,87.60,90.47,A
27, Spain, 0,19, PHD, 12, 7, 5, 9,88.22,93.85,A
28, Spain, 0,18, PHD, 12, 7, 5, 9,96.29,96.67,A
29, Spain, 0,22, PHD, 12, 7, 5, 9,95.60,93.38,A
30, Spain, 0,20, PHD, 12, 7, 5, 9,93.66,88.40,A
31, France, 1,22, PHD, 13, 0, 9, 9,67.21,62.21,C
32, France, 1,23, PHD, 13, 0, 9, 9,41.35,67.89,C
33, France, 1,25, PHD, 13, 0, 9, 9,69.24,68.49,C
34, France, 1,22, PHD, 13, 0, 9, 9,81.03,70.26,C
35, France, 1,19, PHD, 13, 0, 9, 9,43.21,64.63,C
36, France, 1,26, PHD, 13, 0, 9, 9,73.11,70.04,C
37, France, 1,23, PHD, 13, 0, 9, 9,60.27,74.87,C
38, France, 1,24, PHD, 13, 0, 9, 9,72.29,79.26,B
39, France, 1,21, PHD, 13, 0, 9, 9,52.05,62.36,C
40, France, 1,22, PHD, 13, 0, 9, 9,67.65,73.30,C
41, France, 1,19, PHD, 13, 0, 9, 9,51.99,61.60,C
42, France, 1,25, PHD, 13, 0, 9, 9,77.34,81.92,B
43, France, 1,25, PHD, 13, 0, 9, 9,42.15,63.69,C
44, France, 1,22, PHD, 13, 0, 9, 9,60.52,68.82,C
45, France, 1,24, PHD, 13, 0, 9, 9,57.30,55.73,F
46, France, 1,23, PHD, 13, 0, 9, 9,57.22,69.77,C
47, France, 1,23, PHD, 13, 0, 9, 9,52.35,58.70,F
48, France, 1,21, PHD, 13, 0, 9, 9,57.67,51.52,F
49, France, 1,19, PHD, 13, 0, 9, 9,47.33,65.19,C
50, France, 1,18, PHD, 13, 0, 9, 9,60.06,74.69,C
51, France, 1,19, PHD, 13, 0, 9, 9,79.85,79.74,B
52, France, 1,25, PHD, 13, 0, 9, 9,47.66,63.64,C
53, France, 1,24, PHD, 13, 0, 9, 9,53.91,67.46,C
54, France, 1,21, PHD, 13, 0, 9, 9,67.27,65.24,C
55, France, 1,20, PHD, 13, 0, 9, 9,75.55,79.12,B
56, France, 1,23, PHD, 13, 0, 9, 9,42.39,53.79,F
57, France, 1,18, PHD, 13, 0, 9, 9,69.86,65.82,C
58, France, 1,21, PHD, 13, 0, 9, 9,75.78,75.33,C
59, France, 1,21, PHD, 13, 0, 9, 9,75.02,84.53,B
60, France, 1,22, PHD, 13, 0, 9, 9,49.52,51.06,F
61, France, 1,19, PHD, 13, 0, 9, 9,60.63,66.77,C
62, France, 1,26, PHD, 13, 0, 9, 9,73.46,79.88,B
63, France, 1,19, PHD, 13, 0, 9, 9,80.28,79.58,B
64, France, 1,18, PHD, 13, 0, 9, 9,76.40,83.63,B
65, China, 1,23, PHD, 0, 9, 4, 6,70.99,88.41,A
66, China, 1,24, PHD, 0, 9, 4, 6,82.71,83.82,B
67, China, 1,22, PHD, 0, 9, 4, 6,77.82,81.27,B
68, China, 1,25, PHD, 0, 9, 4, 6,71.34,88.96,A
69, China, 1,24, PHD, 0, 9, 4, 6,83.59,84.58,B
70, China, 1,25, PHD, 0, 9, 4, 6,85.38,85.73,B
71, China, 1,20, PHD, 0, 9, 4, 6,82.50,88.25,A
72, China, 1,26, PHD, 0, 9, 4, 6,76.73,84.35,B
73, China, 1,23, PHD, 0, 9, 4, 6,84.03,77.73,C
74, China, 1,18, PHD, 0, 9, 4, 6,76.74,74.81,C
75, China, 1,19, PHD, 0, 9, 4, 6,85.68,77.10,C
76, China, 1,20, PHD, 0, 9, 4, 6,76.04,77.01,C
77, China, 1,20, PHD, 0, 9, 4, 6,74.60,73.79,C
78, China, 1,20, PHD, 0, 9, 4, 6,73.14,74.99,C
79, China, 1,24, PHD, 0, 9, 4, 6,78.29,80.15,B
80, Spain, 0,23, PHD, 1, 2, 8, 0,61.39,70.92,C
81, Spain, 0,20, PHD, 1, 2, 8, 0,69.03,70.16,C
82, Spain, 0,23, PHD, 1, 2, 8, 0,50.02,68.88,C
83, Spain, 0,23, PHD, 1, 2, 8, 0,81.35,72.47,C
84, Spain, 0,25, PHD, 1, 2, 8, 0,79.75,80.74,B
85, Spain, 0,21, PHD, 1, 2, 8, 0,43.65,65.55,C
86, Spain, 0,20, PHD, 1, 2, 8, 0,84.15,84.87,B
87, India, 0,22, BS, 14, 1, 12, 5,88.95,70.18,C
88, India, 0,26, BS, 14, 1, 12, 5,78.88,83.47,B
89, India, 0,20, BS, 14, 1, 12, 5,83.35,88.97,A
90, India, 0,18, BS, 14, 1, 12, 5,70.03,72.44,C
91, India, 0,18, BS, 14, 1, 12, 5,72.63,78.51,C
92, India, 0,21, BS, 14, 1, 12, 5,87.69,76.05,C
93, India, 0,19, BS, 14, 1, 12, 5,74.31,80.49,B
94, India, 0,20, BS, 14, 1, 12, 5,75.08,80.65,B
95, India, 0,24, BS, 14, 1, 12, 5,83.61,71.44,C
96, India, 0,18, BS, 14, 1, 12, 5,87.61,79.88,B
97, India, 0,20, BS, 14, 1, 12, 5,77.40,78.61,C
98, India, 0,26, BS, 14, 1, 12, 5,71.77,89.02,A
99, India, 0,19, BS, 14, 1, 12, 5,86.62,82.40,B
100, India, 0,25, BS, 14, 1, 12, 5,78.20,85.95,B
101, India, 0,23, BS, 14, 1, 12, 5,76.01,75.14,C
102, India, 0,24, BS, 14, 1, 12, 5,82.09,85.60,B
103, India, 0,24, BS, 14, 1, 12, 5,70.43,83.98,B
104, India, 0,19, BS, 14, 1, 12, 5,78.04,72.12,C
105, India, 0,21, BS, 14, 1, 12, 5,77.43,76.75,C
106, India, 0,26, BS, 14, 1, 12, 5,87.53,84.23,B
107, India, 0,25, BS, 14, 1, 12, 5,80.45,79.51,B
108, India, 0,23, BS, 14, 1, 12, 5,85.23,89.66,A
109, India, 0,25, BS, 14, 1, 12, 5,74.86,79.52,B
110, India, 0,25, BS, 14, 1, 12, 5,71.68,79.99,B
111, India, 0,21, BS, 14, 1, 12, 5,77.51,80.05,B
112, India, 0,26, BS, 14, 1, 12, 5,82.32,72.25,C
113, India, 0,26, BS, 14, 1, 12, 5,79.84,76.69,C
114, India, 0,19, BS, 14, 1, 12, 5,77.37,84.49,B
115, India, 0,21, BS, 14, 1, 12, 5,71.18,84.48,B
116, India, 0,23, BS, 14, 1, 12, 5,77.88,83.89,B
117, India, 0,22, BS, 14, 1, 12, 5,79.07,76.08,C
118, India, 0,21, BS, 14, 1, 12, 5,73.34,86.82,B
119, India, 0,25, BS, 14, 1, 12, 5,88.11,83.38,B
120, Spain, 1,19, BS, 0, 1, 0, 6,66.78,64.93,C
121, Spain, 1,18, BS, 0, 1, 0, 6,42.84,52.05,F
122, Spain, 1,20, BS, 0, 1, 0, 6,41.24,50.86,F
123, Spain, 1,25, BS, 0, 1, 0, 6,76.67,78.24,C
124, Spain, 1,26, BS, 0, 1, 0, 6,44.41,56.17,F
125, Spain, 1,26, BS, 0, 1, 0, 6,49.00,50.58,F
126, Spain, 1,24, BS, 0, 1, 0, 6,78.91,76.86,C
127, Spain, 1,18, BS, 0, 1, 0, 6,40.83,66.34,C
128, Spain, 1,18, BS, 0, 1, 0, 6,73.76,71.25,C
129, Spain, 1,18, BS, 0, 1, 0, 6,64.24,74.64,C
130, Spain, 1,21, BS, 0, 1, 0, 6,51.13,56.58,F
131, Spain, 1,22, BS, 0, 1, 0, 6,49.32,65.63,C
132, Spain, 1,26, BS, 0, 1, 0, 6,42.35,58.97,F
133, Spain, 1,18, BS, 0, 1, 0, 6,49.59,55.32,F
134, Spain, 1,22, BS, 0, 1, 0, 6,55.81,61.78,C
135, Spain, 1,25, BS, 0, 1, 0, 6,48.14,61.42,C
136, Spain, 1,20, BS, 0, 1, 0, 6,76.07,74.96,C
137, Spain, 1,20, BS, 0, 1, 0, 6,55.43,58.69,F
138, Spain, 1,26, BS, 0, 1, 0, 6,61.17,73.87,C
139, Spain, 1,24, BS, 0, 1, 0, 6,72.33,76.38,C
140, Spain, 1,25, BS, 0, 1, 0, 6,83.44,77.69,C
141, Spain, 1,23, BS, 0, 1, 0, 6,70.71,71.22,C
142, France, 1,21, PHD, 3, 3, 11, 3,64.66,61.10,C
143, France, 1,19, PHD, 3, 3, 11, 3,73.67,75.26,C
144, France, 1,26, PHD, 3, 3, 11, 3,47.08,62.36,C
145, France, 1,22, PHD, 3, 3, 11, 3,56.34,56.46,F
146, France, 1,25, PHD, 3, 3, 11, 3,72.32,83.96,B
147, France, 1,19, PHD, 3, 3, 11, 3,51.41,54.41,F
148, France, 1,25, PHD, 3, 3, 11, 3,58.87,50.27,F
149, France, 1,26, PHD, 3, 3, 11, 3,84.72,78.98,C
150, France, 1,24, PHD, 3, 3, 11, 3,73.94,77.46,C
151, France, 1,21, PHD, 3, 3, 11, 3,41.53,63.49,C
152, France, 1,18, PHD, 3, 3, 11, 3,61.14,74.41,C
153, France, 1,26, PHD, 3, 3, 11, 3,70.90,72.55,C
154, France, 1,26, PHD, 3, 3, 11, 3,44.87,52.65,F
155, France, 1,20, PHD, 3, 3, 11, 3,54.28,63.11,C
156, France, 1,21, PHD, 3, 3, 11, 3,75.73,78.87,C
157, France, 1,19, PHD, 3, 3, 11, 3,84.50,79.49,B
158, India, 0,20, BS, 3, 11, 14, 4,70.46,81.19,B
159, India, 0,26, BS, 3, 11, 14, 4,78.57,72.42,C
160, India, 0,26, BS, 3, 11, 14, 4,59.25,62.86,C
161, India, 0,24, BS, 3, 11, 14, 4,44.29,65.49,C
162, India, 0,22, BS, 3, 11, 14, 4,78.72,82.50,B
163, India, 0,22, BS, 3, 11, 14, 4,45.44,52.97,F
164, India, 0,19, BS, 3, 11, 14, 4,72.97,82.89,B
165, India, 0,23, BS, 3, 11, 14, 4,47.64,64.56,C
166, India, 0,25, BS, 3, 11, 14, 4,40.98,68.07,C
167, India, 0,26, BS, 3, 11, 14, 4,53.08,57.57,F
168, India, 0,26, BS, 3, 11, 14, 4,84.60,83.50,B
169, India, 0,18, BS, 3, 11, 14, 4,60.44,65.96,C
170, India, 0,18, BS, 3, 11, 14, 4,53.22,52.93,F
171, India, 0,22, BS, 3, 11, 14, 4,54.43,50.32,F
172, India, 0,24, BS, 3, 11, 14, 4,42.43,51.28,F
173, India, 0,23, BS, 3, 11, 14, 4,46.10,64.59,C
174, India, 0,19, BS, 3, 11, 14, 4,51.81,68.19,C
175, India, 0,24, BS, 3, 11, 14, 4,52.73,65.64,C
176, India, 0,20, BS, 3, 11, 14, 4,51.63,56.43,F
177, India, 0,19, BS, 3, 11, 14, 4,62.01,65.66,C
178, India, 0,21, BS, 3, 11, 14, 4,58.87,68.59,C
179, India, 0,24, BS, 3, 11, 14, 4,68.99,65.19,C
180, India, 0,18, BS, 3, 11, 14, 4,53.58,65.64,C
181, France, 0,21, PHD, 1, 10, 11, 1,82.47,80.25,B
182, France, 0,19, PHD, 1, 10, 11, 1,74.28,80.82,B
183, France, 0,19, PHD, 1, 10, 11, 1,74.73,72.47,C
184, France, 0,24, PHD, 1, 10, 11, 1,89.72,84.40,B
185, France, 0,19, PHD, 1, 10, 11, 1,80.12,87.34,B
186, France, 0,26, PHD, 1, 10, 11, 1,88.78,79.79,B
187, France, 0,24, PHD, 1, 10, 11, 1,73.90,89.41,A
188, France, 0,25, PHD, 1, 10, 11, 1,84.74,82.57,B
189, France, 0,19, PHD, 1, 10, 11, 1,86.54,88.45,A
190, France, 0,26, PHD, 1, 10, 11, 1,83.25,73.22,C
191, France, 0,23, PHD, 1, 10, 11, 1,80.63,89.91,A
192, France, 0,25, PHD, 1, 10, 11, 1,79.00,70.35,C
193, France, 0,19, PHD, 1, 10, 11, 1,78.01,80.73,B
194, France, 0,25, PHD, 1, 10, 11, 1,84.71,75.09,C
195, France, 0,18, PHD, 1, 10, 11, 1,84.35,78.38,C
196, France, 0,19, PHD, 1, 10, 11, 1,81.25,72.46,C
197, France, 0,18, PHD, 1, 10, 11, 1,73.69,74.04,C
198, France, 0,23, PHD, 1, 10, 11, 1,80.15,75.67,C
199, France, 0,23, PHD, 1, 10, 11, 1,76.35,80.11,B
200, France, 0,24, PHD, 1, 10, 11, 1,87.23,80.70,B
201, France, 0,24, PHD, 1, 10, 11, 1,85.93,83.02,B
202, France, 0,22, PHD, 1, 10, 11, 1,76.78,89.59,A
203, France, 0,26, PHD, 1, 10, 11, 1,81.57,70.18,C
204, France, 0,23, PHD, 1, 10, 11, 1,79.37,81.31,B
205, France, 0,18, PHD, 1, 10, 11, 1,81.39,75.04,C
206, France, 0,23, PHD, 1, 10, 11, 1,83.86,76.27,C
207, France, 0,20, PHD, 1, 10, 11, 1,84.80,80.86,B
208, France, 0,25, PHD, 1, 10, 11, 1,88.05,86.75,B
209, France, 0,21, PHD, 1, 10, 11, 1,78.00,85.96,B
210, France, 0,20, PHD, 1, 10, 11, 1,76.34,81.53,B
211, India, 1,19, PHD, 2, 10, 7, 2,92.84,81.89,B
212, India, 1,20, PHD, 2, 10, 7, 2,85.24,97.48,A
213, India, 1,20, PHD, 2, 10, 7, 2,95.49,80.33,B
214, India, 1,25, PHD, 2, 10, 7, 2,91.70,97.14,A
215, India, 1,18, PHD, 2, 10, 7, 2,81.11,92.47,A
216, India, 1,23, PHD, 2, 10, 7, 2,83.11,80.71,B
217, India, 1,25, PHD, 2, 10, 7, 2,91.31,94.99,A
218, India, 1,18, PHD, 2, 10, 7, 2,82.50,89.03,A
219, India, 1,20, PHD, 2, 10, 7, 2,92.69,99.19,A
220, India, 1,21, PHD, 2, 10, 7, 2,86.40,99.43,A
221, India, 1,21, PHD, 2, 10, 7, 2,87.14,80.45,B
222, India, 1,25, PHD, 2, 10, 7, 2,89.12,95.24,A
223, India, 1,19, PHD, 2, 10, 7, 2,96.89,98.76,A
224, India, 1,21, PHD, 2, 10, 7, 2,84.97,83.25,B
225, India, 1,23, PHD, 2, 10, 7, 2,95.27,90.46,A
226, India, 1,19, PHD, 2, 10, 7, 2,91.89,84.05,B
227, India, 1,18, PHD, 2, 10, 7, 2,99.13,97.83,A
228, India, 1,24, PHD, 2, 10, 7, 2,99.62,87.45,B
229, India, 1,22, PHD, 2, 10, 7, 2,86.14,94.83,A
230, India, 1,25, PHD, 2, 10, 7, 2,86.58,90.17,A
231, India, 1,20, PHD, 2, 10, 7, 2,95.54,99.28,A
232, India, 1,26, PHD, 2, 10, 7, 2,88.53,98.59,A
233, India, 1,23, PHD, 2, 10, 7, 2,99.98,92.04,A
234, India, 1,18, PHD, 2, 10, 7, 2,80.44,95.15,A
235, India, 1,18, PHD, 2, 10, 7, 2,84.81,92.68,A
236, India, 1,24, PHD, 2, 10, 7, 2,92.96,83.18,B
237, India, 1,22, PHD, 2, 10, 7, 2,92.32,97.52,A
238, India, 1,18, PHD, 2, 10, 7, 2,92.06,95.41,A
239, India, 1,26, PHD, 2, 10, 7, 2,81.49,96.09,A
240, India, 1,20, PHD, 2, 10, 7, 2,80.03,96.30,A
241, India, 1,21, PHD, 2, 10, 7, 2,86.66,90.58,A
242, India, 1,24, PHD, 2, 10, 7, 2,93.08,88.79,A
243, India, 1,22, PHD, 2, 10, 7, 2,85.47,92.84,A
244, India, 1,22, PHD, 2, 10, 7, 2,88.65,91.22,A
245, India, 1,24, PHD, 2, 10, 7, 2,93.14,99.47,A
246, China, 1,19, BS, 4, 4, 6, 13,69.73,73.23,C
247, China, 1,25, BS, 4, 4, 6, 13,84.29,75.37,C
248, China, 1,20, BS, 4, 4, 6, 13,71.50,70.98,C
249, China, 1,24, BS, 4, 4, 6, 13,61.71,70.35,C
250, China, 1,26, BS, 4, 4, 6, 13,54.33,52.17,F
251, China, 1,20, BS, 4, 4, 6, 13,47.48,58.26,F
252, China, 1,18, BS, 4, 4, 6, 13,63.90,72.38,C
253, China, 1,18, BS, 4, 4, 6, 13,55.24,68.60,C
254, China, 1,26, BS, 4, 4, 6, 13,41.43,61.18,C
255, China, 1,18, BS, 4, 4, 6, 13,50.21,58.04,F
