ID, Nationality, Gender, Age, Degree, Hours on Readings, Hours on Assignments, Hours on Games, Hours on Internet, Exam, Grade, GradeLetter
1, China, 1,23, PHD, 9, 2, 2, 11,81.80,79.50,B
2, China, 1,21, PHD, 9, 2, 2, 11,88.96,88.46,A
3, China, 1,24, PHD, 9, 2, 2, 11,88.16,87.00,B
4, China, 1,20, PHD, 9, 2, 2, 11,73.57,79.70,B
5, China, 1,22, PHD, 9, 2, 2, 11,78.07,78.94,C
6, China, 1,18, PHD, 9, 2, 2, 11,86.46,77.78,C
7, China, 1,25, PHD, 9, 2, 2, 11,77.77,70.94,C
8, China, 1,19, PHD, 9, 2, 2, 11,73.95,79.26,B
9, China, 1,25, PHD, 9, 2, 2, 11,73.23,75.08,C
10, China, 1,23, PHD, 9, 2, 2, 11,75.60,85.81,B
11, Spain, 1,22, BS, 14, 6, 14, 3,83.98,94.79,A
12, Spain, 1,24, BS, 14, 6, 14, 3,96.26,98.03,A
13, Spain, 1,18, BS, 14, 6, 14, 3,82.27,87.36,B
14, Spain, 1,19, BS, 14, 6, 14, 3,94.93,85.21,B
15, Spain, 1,26, BS, 14, 6, 14, 3,97.01,92.26,A
16, Spain, 1,20, BS, 14, 6, 14, 3,82.75,97.04,A
17, France, 0,25, PHD, 2, 8, 9, 0,94.95,96.22,A
18, France, 0,19, PHD, 2, 8, 9, 0,87.98,83.71,B
19, France, 0,20, PHD, 2, 8, 9, 0,98.83,95.45,A
20, France, 0,18, PHD, 2, 8, 9, 0,95.04,94.89,A
21, France, 0,25, PHD, 2, 8, 9, 0,97.39,85.40,B
22, France, 0,20, PHD, 2, 8, 9, 0,98.43,85.24,B
23, France, 0,26, PHD, 2, 8, 9, 0,86.31,86.37,B
24, China, 1,18, MS, 3, 8, 13, 1,56.55,55.58,F
25, China, 1,23, MS, 3, 8, 13, 1,42.51,62.36,C
26, China, 1,26, MS, 3, 8, 13, 1,45.40,50.09,F
27, China, 1,24, MS, 3, 8, 13, 1,49.21,67.83,C
28, China, 1,24, MS, 3, 8, 13, 1,55.13,61.01,C
29, China, 1,24, MS, 3, 8, 13, 1,50.15,58.12,F
30, China, 1,20, MS, 3, 8, 13, 1,56.66,62.18,C
